"Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
2,4,140,25,1.979,">43"
2,4,77,14,1.558,"35-39"
2,4,137,24,1.937,">43"
2,4,94,16,1.642,"35-39"
2,7,79,16,1.642,"35-39"
2,7,105,20,1.768,"40-43"
2,7,104,20,1.768,"40-43"
2,7,99,21,1.811,"40-43"
2,7,67,12,1.474,"35-39"
2,7,129,24,1.937,">43"
2,7,97,14,1.558,"35-39"
2,7,126,23,1.895,">43"
2,7,152,24,1.937,">43"
2,7,67,11,1.432,"30-34"
2,7,60,11,1.432,"30-34"
2,7,94,17,1.684,"40-43"
2,7,128,24,1.937,">43"
2,7,101,21,1.811,"40-43"
2,7,44,8,1.305,"30-34"
2,7,119,23,1.895,">43"
2,7,117,23,1.895,">43"
2,7,80,17,1.684,"40-43"
2,7,78,16,1.642,"35-39"
2,7,54,8,1.305,"30-34"
2,7,99,23,1.895,">43"
2,10,137,22,1.853,">43"
2,10,120,20,1.768,"40-43"
2,10,107,20,1.768,"40-43"
2,10,98,21,1.811,"40-43"
2,10,97,23,1.895,">43"
2,10,55,21,1.811,"40-43"
2,10,96,17,1.684,"40-43"
2,10,118,21,1.811,"40-43"
2,10,73,16,1.642,"35-39"
2,10,102,21,1.811,"40-43"
2,10,103,22,1.853,">43"
2,10,97,23,1.895,">43"
2,10,96,21,1.811,"40-43"
2,10,81,20,1.768,"40-43"
2,10,114,20,1.768,"40-43"
2,10,143,25,1.979,">43"
2,10,52,7,1.263,"30-34"
2,10,83,21,1.811,"40-43"
2,10,76,14,1.558,"35-39"
2,10,141,23,1.895,">43"
2,10,99,17,1.684,"40-43"
2,10,154,26,2.021,">43"
2,10,109,20,1.768,"40-43"
3,1,103,17,1.684,"40-43"
3,1,55,9,1.347,"30-34"
3,1,154,24,1.937,">43"
3,1,105,17,1.684,"40-43"
3,1,90,13,1.516,"35-39"
3,1,103,21,1.811,"40-43"
3,1,106,20,1.768,"40-43"
3,1,64,15,1.6,"35-39"
3,1,81,15,1.6,"35-39"
3,1,120,20,1.768,"40-43"
3,1,69,12,1.474,"35-39"
3,1,85,17,1.684,"40-43"
3,1,143,27,2.063,">43"
3,1,70,16,1.642,"35-39"
3,1,97,21,1.811,"40-43"
3,1,127,23,1.895,">43"
3,1,74,13,1.516,"35-39"
3,1,81,16,1.642,"35-39"
3,1,89,20,1.768,"40-43"
3,1,28,6,1.221,"<30"
3,1,54,9,1.347,"30-34"
3,1,113,24,1.937,">43"
3,4,93,21,1.811,"40-43"
3,4,117,20,1.768,"40-43"
3,4,81,12,1.474,"35-39"
3,4,127,21,1.811,"40-43"
3,4,128,26,2.021,">43"
3,4,102,18,1.726,"40-43"
3,4,94,15,1.6,"35-39"
3,4,76,13,1.516,"35-39"
3,4,111,20,1.768,"40-43"
3,4,86,18,1.726,"40-43"
3,4,56,12,1.474,"35-39"
3,4,87,16,1.642,"35-39"
3,4,66,12,1.474,"35-39"
3,4,82,18,1.726,"40-43"
3,4,61,7,1.263,"30-34"
3,4,57,8,1.305,"30-34"
3,4,135,25,1.979,">43"
3,4,104,20,1.768,"40-43"
3,4,132,26,2.021,">43"
3,4,120,22,1.853,">43"
3,4,118,21,1.811,"40-43"
3,4,111,23,1.895,">43"
3,7,74,11,1.432,"30-34"
3,7,80,16,1.642,"35-39"
3,7,95,18,1.726,"40-43"
3,7,64,8,1.305,"30-34"
3,7,50,9,1.347,"30-34"
3,7,122,23,1.895,">43"
3,7,81,16,1.642,"35-39"
3,7,105,20,1.768,"40-43"
3,7,89,16,1.642,"35-39"
3,7,145,23,1.895,">43"
3,7,43,9,1.347,"30-34"
3,7,70,15,1.6,"35-39"
3,7,66,13,1.516,"35-39"
3,7,99,16,1.642,"35-39"
3,7,120,23,1.895,">43"
3,7,116,22,1.853,">43"
3,7,105,17,1.684,"40-43"
3,7,132,23,1.895,">43"
3,7,77,16,1.642,"35-39"
3,7,123,23,1.895,">43"
3,7,126,24,1.937,">43"
3,10,108,22,1.853,">43"
3,10,92,18,1.726,"40-43"
3,10,86,16,1.642,"35-39"
3,10,95,17,1.684,"40-43"
3,10,89,18,1.726,"40-43"
3,10,119,21,1.811,"40-43"
3,10,60,13,1.516,"35-39"
3,10,100,20,1.768,"40-43"
3,10,95,17,1.684,"40-43"
3,10,55,9,1.347,"30-34"
3,10,78,17,1.684,"40-43"
3,10,75,15,1.6,"35-39"
3,10,112,22,1.853,">43"
3,10,98,20,1.768,"40-43"
3,10,77,15,1.6,"35-39"
3,10,84,17,1.684,"40-43"
3,10,92,11,1.432,"30-34"
3,10,110,21,1.811,"40-43"
3,10,140,25,1.979,">43"
3,10,84,16,1.642,"35-39"
3,10,61,7,1.263,"30-34"
3,10,129,23,1.895,">43"
3,10,116,18,1.726,"40-43"
4,1,74,17,1.684,"40-43"
4,1,95,15,1.6,"35-39"
4,1,89,18,1.726,"40-43"
4,1,95,18,1.726,"40-43"
4,1,69,17,1.684,"40-43"
4,1,102,18,1.726,"40-43"
4,1,84,16,1.642,"35-39"
4,1,76,15,1.6,"35-39"
4,1,66,13,1.516,"35-39"
4,1,134,24,1.937,">43"
4,1,102,16,1.642,"35-39"
4,1,60,15,1.6,"35-39"
4,1,127,23,1.895,">43"
4,1,36,7,1.263,"30-34"
4,1,65,14,1.558,"35-39"
4,1,165,24,1.937,">43"
4,1,94,18,1.726,"40-43"
4,1,43,11,1.432,"30-34"
4,1,91,21,1.811,"40-43"
4,1,107,20,1.768,"40-43"
4,1,94,17,1.684,"40-43"
4,1,71,14,1.558,"35-39"
4,1,85,21,1.811,"40-43"
4,1,60,14,1.558,"35-39"
4,1,132,17,1.684,"40-43"
4,1,127,23,1.895,">43"
4,1,68,13,1.516,"35-39"
4,1,147,23,1.895,">43"
4,1,76,15,1.6,"35-39"
4,1,106,21,1.811,"40-43"
4,4,106,17,1.684,"40-43"
4,4,72,12,1.474,"35-39"
4,4,131,21,1.811,"40-43"
4,4,70,17,1.684,"40-43"
4,4,126,23,1.895,">43"
4,4,77,18,1.726,"40-43"
4,4,78,21,1.811,"40-43"
4,4,103,18,1.726,"40-43"
4,4,82,17,1.684,"40-43"
4,4,103,18,1.726,"40-43"
4,4,90,20,1.768,"40-43"
4,4,105,20,1.768,"40-43"
4,4,96,18,1.726,"40-43"
4,4,80,16,1.642,"35-39"
4,4,112,23,1.895,">43"
4,4,64,14,1.558,"35-39"
4,4,101,21,1.811,"40-43"
4,4,112,22,1.853,">43"
4,4,121,21,1.811,"40-43"
4,4,125,23,1.895,">43"
4,4,101,18,1.726,"40-43"
4,4,100,20,1.768,"40-43"
4,4,140,23,1.895,">43"
4,4,58,11,1.432,"30-34"
4,4,84,20,1.768,"40-43"
4,7,139,22,1.853,">43"
4,7,114,22,1.853,">43"
4,7,121,24,1.937,">43"
4,7,58,18,1.726,"40-43"
4,7,103,18,1.726,"40-43"
4,7,108,21,1.811,"40-43"
4,7,106,17,1.684,"40-43"
4,7,59,8,1.305,"30-34"
4,7,104,20,1.768,"40-43"
4,7,116,21,1.811,"40-43"
4,7,85,18,1.726,"40-43"
4,7,68,17,1.684,"40-43"
4,7,58,11,1.432,"30-34"
4,7,79,17,1.684,"40-43"
4,7,100,22,1.853,">43"
4,7,77,14,1.558,"35-39"
4,7,110,20,1.768,"40-43"
4,7,104,21,1.811,"40-43"
4,7,125,23,1.895,">43"
4,7,123,18,1.726,"40-43"
4,7,82,17,1.684,"40-43"
4,7,102,17,1.684,"40-43"
4,7,111,20,1.768,"40-43"
4,7,92,17,1.684,"40-43"
4,10,113,21,1.811,"40-43"
4,10,117,20,1.768,"40-43"
4,10,98,20,1.768,"40-43"
4,10,115,23,1.895,">43"
4,10,145,24,1.937,">43"
4,10,97,20,1.768,"40-43"
4,10,97,21,1.811,"40-43"
4,10,95,20,1.768,"40-43"
4,10,83,21,1.811,"40-43"
4,10,65,14,1.558,"35-39"
4,10,107,21,1.811,"40-43"
4,10,112,21,1.811,"40-43"
4,10,113,22,1.853,">43"
4,10,97,21,1.811,"40-43"
4,10,94,21,1.811,"40-43"
4,10,81,20,1.768,"40-43"
4,10,102,23,1.895,">43"
4,10,79,18,1.726,"40-43"
4,10,132,25,1.979,">43"
4,10,98,20,1.768,"40-43"
4,10,107,20,1.768,"40-43"
4,10,81,17,1.684,"40-43"
4,10,121,24,1.937,">43"
4,10,95,18,1.726,"40-43"
4,10,79,17,1.684,"40-43"
6,1,77,14,1.558,"35-39"
6,1,64,13,1.516,"35-39"
6,1,87,17,1.684,"40-43"
6,1,116,23,1.895,">43"
6,1,77,15,1.6,"35-39"
6,1,75,12,1.474,"35-39"
6,1,88,17,1.684,"40-43"
6,1,33,4,1.137,"<30"
6,1,111,22,1.853,">43"
6,1,111,22,1.853,">43"
6,1,38,10,1.389,"30-34"
6,1,101,20,1.768,"40-43"
6,1,95,18,1.726,"40-43"
6,1,33,4,1.137,"<30"
6,1,91,16,1.642,"35-39"
6,1,63,12,1.474,"35-39"
6,1,103,12,1.474,"35-39"
6,1,45,9,1.347,"30-34"
6,1,78,15,1.6,"35-39"
6,1,120,21,1.811,"40-43"
6,1,36,7,1.263,"30-34"
6,1,73,15,1.6,"35-39"
6,1,134,24,1.937,">43"
6,1,87,21,1.811,"40-43"
6,1,128,24,1.937,">43"
6,1,113,23,1.895,">43"
6,1,158,26,2.021,">43"
6,1,112,22,1.853,">43"
6,1,60,13,1.516,"35-39"
6,1,147,25,1.979,">43"
6,1,80,16,1.642,"35-39"
6,1,74,14,1.558,"35-39"
6,1,57,10,1.389,"30-34"
6,1,85,13,1.516,"35-39"
6,1,64,17,1.684,"40-43"
6,4,146,26,2.021,">43"
6,4,55,12,1.474,"35-39"
6,4,67,13,1.516,"35-39"
6,4,142,25,1.979,">43"
6,4,100,18,1.726,"40-43"
6,4,117,22,1.853,">43"
6,4,44,9,1.347,"30-34"
6,4,43,8,1.305,"30-34"
6,4,67,16,1.642,"35-39"
6,4,110,22,1.853,">43"
6,4,83,16,1.642,"35-39"
6,4,57,13,1.516,"35-39"
6,4,56,9,1.347,"30-34"
6,4,54,8,1.305,"30-34"
6,4,99,23,1.895,">43"
6,4,47,7,1.263,"30-34"
6,4,84,15,1.6,"35-39"
6,4,68,12,1.474,"35-39"
6,4,103,17,1.684,"40-43"
6,4,58,9,1.347,"30-34"
6,4,125,22,1.853,">43"
6,4,95,17,1.684,"40-43"
6,4,91,18,1.726,"40-43"
6,4,100,22,1.853,">43"
6,4,83,15,1.6,"35-39"
6,4,61,11,1.432,"30-34"
6,4,40,6,1.221,"<30"
6,4,103,17,1.684,"40-43"
6,4,68,15,1.6,"35-39"
6,4,78,15,1.6,"35-39"
6,4,54,11,1.432,"30-34"
6,4,88,20,1.768,"40-43"
6,4,115,23,1.895,">43"
6,4,104,25,1.979,">43"
6,4,64,15,1.6,"35-39"
6,7,98,20,1.768,"40-43"
6,7,49,8,1.305,"30-34"
6,7,75,10,1.389,"30-34"
6,7,120,20,1.768,"40-43"
6,7,126,25,1.979,">43"
6,7,121,21,1.811,"40-43"
6,7,93,22,1.853,">43"
6,7,118,24,1.937,">43"
6,7,74,16,1.642,"35-39"
6,7,122,23,1.895,">43"
6,7,93,17,1.684,"40-43"
6,7,114,22,1.853,">43"
6,7,128,24,1.937,">43"
6,7,101,20,1.768,"40-43"
6,7,111,22,1.853,">43"
6,7,85,16,1.642,"35-39"
6,7,92,18,1.726,"40-43"
6,7,67,13,1.516,"35-39"
6,7,77,18,1.726,"40-43"
6,7,85,20,1.768,"40-43"
6,7,109,22,1.853,">43"
6,7,46,9,1.347,"30-34"
6,7,88,18,1.726,"40-43"
6,7,130,25,1.979,">43"
6,7,104,22,1.853,">43"
6,7,91,17,1.684,"40-43"
6,7,111,21,1.811,"40-43"
6,10,86,23,1.895,">43"
6,10,71,21,1.811,"40-43"
6,10,152,24,1.937,">43"
6,10,137,20,1.768,"40-43"
6,10,76,18,1.726,"40-43"
6,10,120,22,1.853,">43"
6,10,60,18,1.726,"40-43"
6,10,94,17,1.684,"40-43"
6,10,87,14,1.558,"35-39"
6,10,76,16,1.642,"35-39"
6,10,94,17,1.684,"40-43"
6,10,111,22,1.853,">43"
6,10,90,12,1.474,"35-39"
6,10,35,4,1.137,"<30"
6,10,87,16,1.642,"35-39"
6,10,138,20,1.768,"40-43"
6,10,68,14,1.558,"35-39"
6,10,95,20,1.768,"40-43"
6,10,97,21,1.811,"40-43"
6,10,101,23,1.895,">43"
6,10,90,22,1.853,">43"
7,1,85,15,1.6,"35-39"
7,1,103,18,1.726,"40-43"
7,1,125,23,1.895,">43"
7,1,80,15,1.6,"35-39"
7,1,122,23,1.895,">43"
7,1,113,21,1.811,"40-43"
7,1,113,18,1.726,"40-43"
7,1,87,17,1.684,"40-43"
7,1,86,15,1.6,"35-39"
7,1,99,20,1.768,"40-43"
7,1,124,24,1.937,">43"
7,1,92,18,1.726,"40-43"
7,1,75,13,1.516,"35-39"
7,1,97,21,1.811,"40-43"
7,1,73,13,1.516,"35-39"
7,1,82,14,1.558,"35-39"
7,1,84,17,1.684,"40-43"
7,1,114,23,1.895,">43"
7,1,79,15,1.6,"35-39"
7,1,90,16,1.642,"35-39"
7,1,77,14,1.558,"35-39"
7,1,105,17,1.684,"40-43"
7,1,59,10,1.389,"30-34"
7,1,74,13,1.516,"35-39"
7,4,116,24,1.937,">43"
7,4,65,17,1.684,"40-43"
7,4,97,21,1.811,"40-43"
7,4,90,14,1.558,"35-39"
7,4,120,18,1.726,"40-43"
7,4,84,12,1.474,"35-39"
7,4,59,11,1.432,"30-34"
7,4,74,16,1.642,"35-39"
7,4,118,22,1.853,">43"
7,4,46,5,1.179,"<30"
7,4,121,23,1.895,">43"
7,4,113,22,1.853,">43"
7,4,81,14,1.558,"35-39"
7,4,91,16,1.642,"35-39"
7,4,136,24,1.937,">43"
7,4,65,12,1.474,"35-39"
7,4,114,21,1.811,"40-43"
7,4,135,23,1.895,">43"
7,4,87,18,1.726,"40-43"
7,4,114,23,1.895,">43"
7,4,69,9,1.347,"30-34"
7,4,113,23,1.895,">43"
7,4,83,15,1.6,"35-39"
7,4,76,17,1.684,"40-43"
7,4,151,20,1.768,"40-43"
7,4,41,7,1.263,"30-34"
7,4,58,14,1.558,"35-39"
7,7,87,18,1.726,"40-43"
7,7,86,21,1.811,"40-43"
7,7,70,16,1.642,"35-39"
7,7,110,24,1.937,">43"
7,7,64,12,1.474,"35-39"
7,7,87,17,1.684,"40-43"
7,7,79,16,1.642,"35-39"
7,7,125,22,1.853,">43"
7,7,125,23,1.895,">43"
7,7,48,8,1.305,"30-34"
7,7,114,21,1.811,"40-43"
7,7,99,21,1.811,"40-43"
7,7,101,18,1.726,"40-43"
7,7,90,17,1.684,"40-43"
7,7,88,18,1.726,"40-43"
7,7,85,18,1.726,"40-43"
7,7,90,21,1.811,"40-43"
7,7,73,18,1.726,"40-43"
7,7,97,22,1.853,">43"
7,7,59,11,1.432,"30-34"
7,10,108,22,1.853,">43"
7,10,123,20,1.768,"40-43"
7,10,90,17,1.684,"40-43"
7,10,68,20,1.768,"40-43"
7,10,71,17,1.684,"40-43"
7,10,55,13,1.516,"35-39"
7,10,84,24,1.937,">43"
7,10,61,18,1.726,"40-43"
7,10,73,20,1.768,"40-43"
7,10,65,17,1.684,"40-43"
7,10,75,13,1.516,"35-39"
7,10,118,23,1.895,">43"
7,10,129,24,1.937,">43"
7,10,91,23,1.895,">43"
7,10,117,21,1.811,"40-43"
7,10,139,20,1.768,"40-43"
7,10,108,15,1.6,"35-39"
7,10,123,20,1.768,"40-43"
7,10,87,15,1.6,"35-39"
7,10,119,18,1.726,"40-43"
8,1,71,13,1.516,"35-39"
8,1,127,21,1.811,"40-43"
8,1,110,23,1.895,">43"
8,1,80,12,1.474,"35-39"
8,1,36,5,1.179,"<30"
8,1,44,10,1.389,"30-34"
8,1,113,22,1.853,">43"
8,1,77,15,1.6,"35-39"
8,1,102,24,1.937,">43"
8,1,86,22,1.853,">43"
8,1,108,21,1.811,"40-43"
8,1,118,21,1.811,"40-43"
8,1,102,22,1.853,">43"
8,1,59,17,1.684,"40-43"
8,1,75,22,1.853,">43"
8,1,80,17,1.684,"40-43"
8,1,102,22,1.853,">43"
8,1,117,22,1.853,">43"
8,1,54,10,1.389,"30-34"
8,1,99,22,1.853,">43"
8,4,88,22,1.853,">43"
8,4,56,13,1.516,"35-39"
8,4,108,18,1.726,"40-43"
8,4,98,18,1.726,"40-43"
8,4,23,6,1.221,"<30"
8,4,162,22,1.853,">43"
8,4,35,5,1.179,"<30"
8,4,113,23,1.895,">43"
8,4,67,12,1.474,"35-39"
8,4,58,10,1.389,"30-34"
8,4,104,21,1.811,"40-43"
8,4,121,22,1.853,">43"
8,4,130,23,1.895,">43"
8,4,118,16,1.642,"35-39"
8,4,140,25,1.979,">43"
8,4,94,17,1.684,"40-43"
8,4,111,24,1.937,">43"
8,4,115,15,1.6,"35-39"
8,4,164,20,1.768,"40-43"
8,4,152,23,1.895,">43"
8,4,148,22,1.853,">43"
8,7,97,21,1.811,"40-43"
8,7,95,21,1.811,"40-43"
8,7,90,18,1.726,"40-43"
8,7,95,17,1.684,"40-43"
8,7,88,22,1.853,">43"
8,7,83,18,1.726,"40-43"
8,7,86,14,1.558,"35-39"
8,7,88,17,1.684,"40-43"
8,7,111,20,1.768,"40-43"
8,7,102,24,1.937,">43"
8,7,64,14,1.558,"35-39"
8,7,84,18,1.726,"40-43"
8,7,112,20,1.768,"40-43"
8,7,85,20,1.768,"40-43"
8,7,74,11,1.432,"30-34"
8,7,77,20,1.768,"40-43"
8,7,44,13,1.516,"35-39"
8,7,62,16,1.642,"35-39"
8,7,74,15,1.6,"35-39"
8,7,74,15,1.6,"35-39"
8,10,67,13,1.516,"35-39"
8,10,72,15,1.6,"35-39"
8,10,110,20,1.768,"40-43"
8,10,112,23,1.895,">43"
8,10,136,23,1.895,">43"
8,10,64,18,1.726,"40-43"
8,10,77,18,1.726,"40-43"
8,10,95,20,1.768,"40-43"
8,10,90,12,1.474,"35-39"
8,10,110,24,1.937,">43"
8,10,139,24,1.937,">43"
8,10,142,22,1.853,">43"
8,10,73,13,1.516,"35-39"
8,10,106,17,1.684,"40-43"
8,10,80,16,1.642,"35-39"
8,10,119,20,1.768,"40-43"
8,10,119,23,1.895,">43"
8,10,97,20,1.768,"40-43"
8,10,109,21,1.811,"40-43"
8,10,113,21,1.811,"40-43"
8,10,108,22,1.853,">43"
8,10,99,20,1.768,"40-43"
8,10,93,17,1.684,"40-43"
9,1,139,21,1.811,"40-43"
9,1,153,22,1.853,">43"
9,1,123,20,1.768,"40-43"
9,1,70,13,1.516,"35-39"
9,1,77,13,1.516,"35-39"
9,1,89,13,1.516,"35-39"
9,1,51,6,1.221,"<30"
9,1,116,20,1.768,"40-43"
9,1,105,16,1.642,"35-39"
9,1,106,17,1.684,"40-43"
9,1,74,13,1.516,"35-39"
9,1,80,14,1.558,"35-39"
9,1,30,3,1.095,"<30"
9,1,110,21,1.811,"40-43"
9,1,60,8,1.305,"30-34"
9,1,80,18,1.726,"40-43"
9,1,43,6,1.221,"<30"
9,1,111,23,1.895,">43"
9,1,108,16,1.642,"35-39"
9,1,48,7,1.263,"30-34"
9,1,88,16,1.642,"35-39"
9,1,54,9,1.347,"30-34"
9,1,78,13,1.516,"35-39"
9,1,37,8,1.305,"30-34"
9,1,25,4,1.137,"<30"
9,1,121,24,1.937,">43"
9,1,71,14,1.558,"35-39"
9,1,39,6,1.221,"<30"
9,4,139,23,1.895,">43"
9,4,86,13,1.516,"35-39"
9,4,132,20,1.768,"40-43"
9,4,137,25,1.979,">43"
9,4,159,21,1.811,"40-43"
9,4,120,23,1.895,">43"
9,4,77,11,1.432,"30-34"
9,4,67,12,1.474,"35-39"
9,4,104,23,1.895,">43"
9,4,83,17,1.684,"40-43"
9,4,122,23,1.895,">43"
9,4,114,22,1.853,">43"
9,4,50,8,1.305,"30-34"
9,4,147,24,1.937,">43"
9,4,78,14,1.558,"35-39"
9,4,56,9,1.347,"30-34"
9,4,34,4,1.137,"<30"
9,4,92,16,1.642,"35-39"
9,4,41,7,1.263,"30-34"
9,4,75,14,1.558,"35-39"
9,4,89,15,1.6,"35-39"
9,7,129,24,1.937,">43"
9,7,86,15,1.6,"35-39"
9,7,129,25,1.979,">43"
9,7,99,16,1.642,"35-39"
9,7,112,23,1.895,">43"
9,7,74,17,1.684,"40-43"
9,7,122,22,1.853,">43"
9,7,126,25,1.979,">43"
9,7,89,16,1.642,"35-39"
9,7,94,16,1.642,"35-39"
9,7,111,21,1.811,"40-43"
9,7,103,20,1.768,"40-43"
9,7,65,14,1.558,"35-39"
9,7,58,13,1.516,"35-39"
9,7,113,14,1.558,"35-39"
9,7,109,20,1.768,"40-43"
9,7,76,21,1.811,"40-43"
9,7,59,13,1.516,"35-39"
9,7,89,18,1.726,"40-43"
9,7,65,14,1.558,"35-39"
9,7,56,12,1.474,"35-39"
9,7,130,23,1.895,">43"
9,7,89,18,1.726,"40-43"
9,7,109,21,1.811,"40-43"
9,7,115,23,1.895,">43"
9,7,136,25,1.979,">43"
9,7,71,15,1.6,"35-39"
9,7,97,18,1.726,"40-43"
9,7,113,24,1.937,">43"
9,7,53,11,1.432,"30-34"
9,7,126,23,1.895,">43"
9,7,59,11,1.432,"30-34"
9,7,114,24,1.937,">43"
9,10,118,20,1.768,"40-43"
9,10,84,14,1.558,"35-39"
9,10,124,23,1.895,">43"
9,10,112,22,1.853,">43"
9,10,111,18,1.726,"40-43"
9,10,98,16,1.642,"35-39"
9,10,73,14,1.558,"35-39"
9,10,111,18,1.726,"40-43"
9,10,144,22,1.853,">43"
9,10,108,17,1.684,"40-43"
9,10,114,14,1.558,"35-39"
9,10,45,8,1.305,"30-34"
9,10,136,22,1.853,">43"
9,10,55,12,1.474,"35-39"
9,10,92,17,1.684,"40-43"
9,10,153,24,1.937,">43"
9,10,121,17,1.684,"40-43"
9,10,123,23,1.895,">43"
9,10,163,24,1.937,">43"
9,10,90,18,1.726,"40-43"
9,10,114,24,1.937,">43"
9,10,118,21,1.811,"40-43"
9,10,95,15,1.6,"35-39"
10,1,123,21,1.811,"40-43"
10,1,119,21,1.811,"40-43"
10,1,125,24,1.937,">43"
10,1,87,15,1.6,"35-39"
10,1,168,26,2.021,">43"
10,1,111,23,1.895,">43"
10,1,64,12,1.474,"35-39"
10,1,74,12,1.474,"35-39"
10,1,79,15,1.6,"35-39"
10,1,91,18,1.726,"40-43"
10,1,117,22,1.853,">43"
10,1,145,25,1.979,">43"
10,1,108,17,1.684,"40-43"
10,1,112,23,1.895,">43"
10,1,62,16,1.642,"35-39"
10,1,140,21,1.811,"40-43"
10,1,144,24,1.937,">43"
10,1,172,18,1.726,"40-43"
10,1,38,7,1.263,"30-34"
10,1,147,21,1.811,"40-43"
10,4,123,23,1.895,">43"
